age,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,mental_health_risk_score,sleep_quality,digital_wellbeing_flag,total_screen_exposure,sleep_efficiency,high_social_media_usage,active_lifestyle,risk_category,sleep_quality_encoded,gender_male
16,3.1,6.1,0.8,2.11,1.9,high,10,7,10,27,Fair,Healthy,3.9000000000000004,3.3888888888888884,0,1,high,1,True
16,6.7,6.8,1.9,3.08,1.4,high,10,9,1,20,Fair,Moderate,8.6,2.3448275862068964,1,1,medium,1,False
14,1.2,7.6,1.0,3.85,0.8,high,8,4,6,18,Fair,Healthy,2.2,3.8,0,0,medium,1,False
16,3.4,4.6,2.1,2.24,0.4,high,4,1,3,8,Poor,Moderate,5.5,1.4838709677419353,0,0,low,0,True
18,4.1,7.4,2.4,2.38,1.5,medium,8,4,9,21,Fair,Moderate,6.5,2.1764705882352944,0,1,high,1,True
18,5.3,4.9,1.2,3.69,1.2,low,5,4,5,14,Poor,Moderate,6.5,2.227272727272727,1,1,medium,0,True
18,2.3,7.6,0.5,2.96,1.7,medium,9,8,7,24,Fair,Healthy,2.8,5.066666666666666,0,1,high,1,False
18,2.4,6.7,1.9,2.53,0.4,high,8,8,2,18,Fair,Healthy,4.3,2.310344827586207,0,0,medium,1,False
13,1.5,7.2,2.5,2.15,1.3,medium,4,6,2,12,Fair,Moderate,4.0,2.0571428571428574,0,1,low,1,False
14,5.7,8.7,0.6,2.64,0.1,low,8,9,4,21,Good,Moderate,6.3,5.437499999999999,1,0,high,2,False
19,2.0,7.1,0.9,3.26,1.6,high,7,5,9,21,Fair,Healthy,2.9,3.736842105263158,0,1,high,1,True
14,2.5,5.6,2.9,2.24,0.5,low,3,9,5,17,Poor,Moderate,5.4,1.435897435897436,0,0,medium,0,True
16,3.4,7.8,2.8,3.83,1.8,medium,6,6,4,16,Fair,Moderate,6.199999999999999,2.0526315789473686,0,1,medium,1,False
13,6.6,5.7,2.5,2.67,1.1,low,2,1,10,13,Poor,At Risk,9.1,1.6285714285714286,1,1,low,0,True
13,1.6,8.7,2.5,3.69,0.4,high,8,2,9,19,Good,Moderate,4.1,2.4857142857142853,0,0,medium,2,False
16,2.7,4.2,2.4,3.05,0.2,high,1,8,4,13,Poor,Moderate,5.1,1.2352941176470589,0,0,low,0,True
14,4.1,8.0,3.0,2.31,0.8,low,8,4,1,13,Good,Moderate,7.1,2.0,0,0,low,2,True
13,6.6,7.3,1.6,3.27,0.1,medium,10,2,1,13,Fair,Moderate,8.2,2.8076923076923075,1,0,low,1,False
17,5.0,4.9,2.1,2.01,1.0,low,9,4,9,22,Poor,Moderate,7.1,1.5806451612903227,0,1,high,0,False
19,4.6,5.5,2.5,3.96,0.8,high,3,10,7,20,Poor,Moderate,7.1,1.5714285714285714,0,0,medium,0,False
17,4.8,4.4,1.3,2.02,0.5,low,5,10,6,21,Poor,Moderate,6.1,1.9130434782608698,0,0,high,0,False
17,1.3,8.0,2.0,2.84,1.8,high,1,7,8,16,Good,Moderate,3.3,2.6666666666666665,0,1,medium,2,False
17,6.3,4.0,1.0,2.43,1.2,high,1,10,9,20,Poor,Moderate,7.3,2.0,1,1,medium,0,False
14,6.4,5.7,0.9,2.06,1.8,high,10,4,2,16,Poor,Moderate,7.300000000000001,3.0000000000000004,1,1,medium,0,True
19,1.6,8.6,2.4,3.81,0.4,low,10,4,1,15,Good,Moderate,4.0,2.5294117647058822,0,0,medium,2,True
14,7.3,7.7,1.4,3.42,0.3,medium,6,1,8,15,Fair,Moderate,8.7,3.2083333333333335,1,0,medium,1,False
15,4.0,8.8,1.3,3.59,1.9,medium,10,6,10,26,Good,Moderate,5.3,3.8260869565217397,0,1,high,2,True
14,5.2,4.1,2.1,3.07,0.2,medium,9,3,8,20,Poor,Moderate,7.300000000000001,1.3225806451612903,1,0,medium,0,True
14,4.5,4.8,0.9,2.22,0.8,low,1,4,10,15,Poor,Moderate,5.4,2.526315789473684,0,0,medium,0,False
18,6.8,8.6,1.1,2.36,1.6,high,1,10,10,21,Good,Moderate,7.9,4.095238095238095,1,1,high,2,True
13,3.5,5.1,1.1,2.27,1.8,medium,2,5,6,13,Poor,Healthy,4.6,2.4285714285714284,0,1,low,0,False
16,2.3,6.3,3.0,3.24,1.9,medium,4,4,9,17,Fair,Moderate,5.3,1.575,0,1,medium,1,True
14,1.2,8.5,1.8,3.65,1.8,high,5,10,10,25,Good,Healthy,3.0,3.035714285714286,0,1,high,2,True
13,6.2,7.1,2.2,3.43,0.2,medium,5,2,2,9,Fair,At Risk,8.4,2.2187499999999996,1,0,low,1,True
18,4.5,4.1,1.9,3.42,0.1,medium,6,7,8,21,Poor,Moderate,6.4,1.4137931034482758,0,0,high,0,True
18,2.9,4.5,2.5,3.16,1.3,low,3,7,8,18,Poor,Moderate,5.4,1.2857142857142858,0,1,medium,0,True
13,5.8,8.5,2.3,3.3,1.9,high,1,1,5,7,Good,Moderate,8.1,2.5757575757575757,1,1,low,2,False
18,6.8,6.5,2.7,2.97,1.9,low,4,4,5,13,Fair,At Risk,9.5,1.7567567567567566,1,1,low,1,True
15,7.4,8.6,0.9,2.3,0.0,low,1,5,3,9,Good,Moderate,8.3,4.526315789473684,1,0,low,2,False
18,4.5,5.0,2.5,2.65,0.7,medium,8,9,1,18,Poor,Moderate,7.0,1.4285714285714286,0,0,medium,0,True
16,6.4,5.3,2.4,2.03,1.7,medium,7,5,10,22,Poor,At Risk,8.8,1.5588235294117647,1,1,high,0,True
13,7.3,4.2,1.3,2.16,1.0,high,4,5,2,11,Poor,Moderate,8.6,1.8260869565217392,1,1,low,0,True
17,7.1,5.6,0.6,3.07,1.0,medium,1,3,7,11,Poor,Moderate,7.699999999999999,3.4999999999999996,1,1,low,0,False
18,1.6,5.1,2.7,3.57,0.8,high,3,9,7,19,Poor,Moderate,4.300000000000001,1.3783783783783783,0,0,medium,0,True
15,1.5,4.7,1.0,3.82,0.6,medium,6,1,4,11,Poor,Healthy,2.5,2.35,0,0,low,0,False
13,4.3,5.8,0.7,3.15,0.1,medium,7,2,1,10,Poor,Moderate,5.0,3.411764705882353,0,0,low,0,True
17,2.5,6.7,2.0,2.56,1.7,high,5,7,5,17,Fair,Moderate,4.5,2.2333333333333334,0,1,medium,1,True
19,7.9,5.1,1.7,2.8,0.8,low,6,1,8,15,Poor,Moderate,9.6,1.8888888888888886,1,0,medium,0,False
17,2.7,8.0,2.6,3.53,1.9,high,1,8,7,16,Good,Moderate,5.300000000000001,2.2222222222222223,0,1,medium,2,True
13,3.1,8.2,1.5,2.45,0.3,low,5,8,6,19,Good,Healthy,4.6,3.28,0,0,medium,2,True
17,5.8,7.6,0.7,2.83,1.0,medium,7,6,8,21,Fair,Moderate,6.5,4.470588235294118,1,1,high,1,True
14,3.9,7.0,2.8,2.8,0.1,low,8,2,8,18,Fair,Moderate,6.699999999999999,1.842105263157895,0,0,medium,1,False
15,7.5,7.0,0.9,3.48,1.1,high,2,2,6,10,Fair,Moderate,8.4,3.68421052631579,1,1,low,1,True
14,5.2,6.7,2.0,3.48,1.0,medium,2,1,5,8,Fair,Moderate,7.2,2.2333333333333334,1,1,low,1,True
16,3.1,5.0,1.1,2.73,1.6,low,2,8,1,11,Poor,Healthy,4.2,2.380952380952381,0,1,low,0,False
16,2.0,8.7,1.2,3.0,0.0,low,8,8,4,20,Good,Healthy,3.2,3.9545454545454537,0,0,medium,2,False
14,2.7,8.4,1.3,2.01,0.6,low,6,3,8,17,Good,Healthy,4.0,3.6521739130434785,0,0,medium,2,True
14,1.5,4.3,2.1,3.9,1.5,low,10,2,4,16,Poor,Moderate,3.6,1.3870967741935483,0,1,medium,0,True
17,6.9,8.2,0.8,2.36,0.0,medium,10,10,7,27,Good,Moderate,7.7,4.555555555555555,1,0,high,2,False
13,1.1,7.1,1.8,2.55,0.8,high,5,5,10,20,Fair,Healthy,2.9000000000000004,2.5357142857142856,0,0,medium,1,True
13,3.4,4.4,0.6,3.41,0.2,low,8,6,3,17,Poor,Healthy,4.0,2.75,0,0,medium,0,True
15,6.7,4.5,2.1,3.71,1.3,high,3,3,3,9,Poor,At Risk,8.8,1.4516129032258065,1,1,low,0,True
18,1.1,7.2,1.0,3.13,0.6,medium,2,1,4,7,Fair,Healthy,2.1,3.6,0,0,low,1,True
18,7.4,7.5,2.3,2.39,0.9,high,4,1,4,9,Fair,At Risk,9.7,2.272727272727273,1,0,low,1,False
19,4.8,6.0,1.5,2.61,1.2,high,2,2,6,10,Fair,Moderate,6.3,2.4,0,1,low,1,False
14,1.2,5.2,2.2,2.19,1.9,medium,9,9,4,22,Poor,Moderate,3.4000000000000004,1.625,0,1,high,0,True
13,7.4,5.6,1.4,2.95,1.7,high,8,5,5,18,Poor,Moderate,8.8,2.3333333333333335,1,1,medium,0,True
16,2.6,8.6,1.3,3.64,1.6,high,5,3,1,9,Good,Healthy,3.9000000000000004,3.739130434782609,0,1,low,2,False
17,5.0,9.0,2.5,3.4,0.9,high,8,10,5,23,Good,Moderate,7.5,2.5714285714285716,0,0,high,2,False
18,7.5,7.4,1.8,3.47,0.0,low,9,4,2,15,Fair,Moderate,9.3,2.6428571428571432,1,0,medium,1,True
17,5.4,5.7,2.5,3.13,1.9,medium,5,10,3,18,Poor,Moderate,7.9,1.6285714285714286,1,1,medium,0,False
17,5.6,5.3,1.7,2.77,0.9,medium,8,4,8,20,Poor,Moderate,7.3,1.9629629629629628,1,0,medium,0,False
18,6.2,4.1,2.8,3.41,1.1,medium,7,8,1,16,Poor,At Risk,9.0,1.0789473684210527,1,1,medium,0,True
17,4.7,4.7,2.4,3.94,0.0,medium,10,5,8,23,Poor,Moderate,7.1,1.3823529411764708,0,0,high,0,False
18,4.0,4.6,2.2,3.7,0.6,medium,4,1,4,9,Poor,Moderate,6.2,1.4374999999999998,0,0,low,0,False
18,6.2,8.6,1.5,3.22,1.6,low,4,5,7,16,Good,Moderate,7.7,3.44,1,1,medium,2,True
17,5.6,6.8,2.0,2.22,1.0,medium,6,9,8,23,Fair,Moderate,7.6,2.2666666666666666,1,1,high,1,False
13,4.0,4.4,2.5,3.6,1.4,medium,7,2,10,19,Poor,Moderate,6.5,1.2571428571428573,0,1,medium,0,False
15,1.8,6.4,2.4,2.16,1.9,medium,3,6,9,18,Fair,Moderate,4.2,1.8823529411764708,0,1,medium,1,False
13,3.1,5.4,1.9,3.66,0.4,low,7,4,2,13,Poor,Healthy,5.0,1.8620689655172415,0,0,low,0,True
13,3.5,5.2,2.5,2.57,1.1,high,1,6,3,10,Poor,Moderate,6.0,1.4857142857142858,0,1,low,0,False
18,7.4,6.4,2.2,3.51,1.0,high,4,5,4,13,Fair,At Risk,9.600000000000001,2.0,1,1,low,1,True
16,8.0,5.5,1.4,2.95,0.3,medium,2,5,2,9,Poor,Moderate,9.4,2.291666666666667,1,0,low,0,True
13,5.1,4.1,1.6,3.32,0.8,medium,1,3,8,12,Poor,Moderate,6.699999999999999,1.5769230769230766,1,0,low,0,True
18,2.4,6.3,1.3,3.05,1.7,low,2,9,5,16,Fair,Healthy,3.7,2.739130434782609,0,1,medium,1,False
13,1.6,4.2,1.5,3.72,1.7,medium,10,1,10,21,Poor,Healthy,3.1,1.6800000000000002,0,1,high,0,True
18,5.8,6.7,1.9,3.0,1.9,low,5,8,2,15,Fair,Moderate,7.699999999999999,2.310344827586207,1,1,medium,1,True
15,2.7,6.6,1.9,2.75,1.9,medium,3,6,6,15,Fair,Healthy,4.6,2.2758620689655173,0,1,medium,1,True
13,4.0,4.5,1.0,3.65,1.8,low,5,6,5,16,Poor,Moderate,5.0,2.25,0,1,medium,0,False
18,3.2,8.8,1.2,3.71,1.1,medium,7,6,10,23,Good,Healthy,4.4,4.0,0,1,high,2,True
13,1.6,4.3,0.6,3.91,2.0,medium,5,10,7,22,Poor,Healthy,2.2,2.6874999999999996,0,1,high,0,True
14,2.3,8.0,2.5,3.08,1.7,medium,5,6,7,18,Good,Moderate,4.8,2.2857142857142856,0,1,medium,2,True
17,7.7,8.5,1.2,3.56,0.0,medium,7,10,7,24,Good,Moderate,8.9,3.8636363636363633,1,0,high,2,True
16,4.8,7.1,0.6,3.36,0.7,high,7,6,9,22,Fair,Moderate,5.3999999999999995,4.437499999999999,0,0,high,1,True
17,5.2,6.0,0.6,3.07,0.6,medium,6,2,9,17,Fair,Moderate,5.8,3.75,1,0,medium,1,False
13,5.7,6.6,2.4,3.99,1.7,high,1,3,1,5,Fair,Moderate,8.1,1.9411764705882353,1,1,low,1,True
15,4.6,5.2,1.4,2.98,1.9,low,1,4,5,10,Poor,Moderate,6.0,2.166666666666667,0,1,low,0,True
13,4.3,7.5,2.7,2.29,0.8,high,1,10,1,12,Fair,Moderate,7.0,2.0270270270270268,0,0,low,1,True
17,4.1,8.6,3.0,2.77,0.1,medium,3,6,1,10,Good,Moderate,7.1,2.15,0,0,low,2,False
15,6.5,8.1,2.0,3.89,1.3,high,8,2,2,12,Good,At Risk,8.5,2.6999999999999997,1,1,low,2,True
19,7.8,8.8,2.1,3.75,1.3,high,10,9,6,25,Good,At Risk,9.9,2.838709677419355,1,1,high,2,False
17,6.5,4.1,2.7,3.66,1.1,medium,6,10,10,26,Poor,At Risk,9.2,1.108108108108108,1,1,high,0,True
17,3.2,4.2,0.6,2.21,1.4,medium,6,6,3,15,Poor,Healthy,3.8000000000000003,2.625,0,1,medium,0,False
13,2.4,4.1,0.8,2.79,1.1,medium,8,6,3,17,Poor,Healthy,3.2,2.2777777777777777,0,1,medium,0,True
15,4.0,8.1,2.1,2.01,0.4,medium,4,8,8,20,Good,Moderate,6.1,2.6129032258064515,0,0,medium,2,False
17,6.0,8.8,1.3,4.0,0.9,medium,8,10,7,25,Good,Moderate,7.3,3.8260869565217397,1,0,high,2,False
18,1.2,8.0,1.7,3.12,0.1,low,6,4,2,12,Good,Healthy,2.9,2.962962962962963,0,0,low,2,True
16,5.7,5.8,2.8,2.17,0.5,medium,3,9,2,14,Poor,Moderate,8.5,1.5263157894736843,1,0,medium,0,True
19,6.5,8.1,2.3,2.21,0.4,high,8,8,6,22,Good,At Risk,8.8,2.4545454545454546,1,0,high,2,True
16,6.6,5.6,0.8,3.48,1.7,medium,4,3,4,11,Poor,Moderate,7.3999999999999995,3.1111111111111107,1,1,low,0,True
13,6.0,7.2,1.5,2.36,0.2,low,1,3,4,8,Fair,Moderate,7.5,2.88,1,0,low,1,True
18,1.1,8.0,2.7,2.04,0.1,low,7,10,2,19,Good,Moderate,3.8000000000000003,2.162162162162162,0,0,medium,2,False
13,3.8,7.9,1.3,3.97,0.2,medium,7,10,9,26,Fair,Healthy,5.1,3.4347826086956528,0,0,high,1,False
13,4.7,6.8,1.7,3.27,1.4,low,4,2,4,10,Fair,Moderate,6.4,2.518518518518518,0,1,low,1,False
15,7.4,6.3,1.3,3.47,1.2,medium,1,3,9,13,Fair,Moderate,8.700000000000001,2.739130434782609,1,1,low,1,True
17,3.9,7.1,2.4,3.82,0.8,high,3,6,10,19,Fair,Moderate,6.3,2.088235294117647,0,0,medium,1,True
18,3.1,5.7,2.9,3.1,0.6,medium,9,4,2,15,Poor,Moderate,6.0,1.4615384615384617,0,0,medium,0,True
16,2.6,8.8,1.7,2.39,1.0,medium,5,2,6,13,Good,Healthy,4.3,3.2592592592592595,0,1,low,2,False
13,5.0,6.9,0.6,3.03,0.8,low,9,3,8,20,Fair,Moderate,5.6,4.3125,0,0,medium,1,True
18,4.5,8.1,1.6,3.72,1.2,low,1,2,1,4,Good,Moderate,6.1,3.115384615384615,0,1,low,2,True
17,2.1,4.7,2.0,2.99,1.9,low,5,1,8,14,Poor,Moderate,4.1,1.5666666666666667,0,1,medium,0,True
14,6.4,6.0,1.1,3.81,0.9,medium,8,2,3,13,Fair,Moderate,7.5,2.857142857142857,1,0,low,1,False
15,2.3,6.5,2.6,3.18,0.1,low,1,8,4,13,Fair,Moderate,4.9,1.8055555555555556,0,0,low,1,False
13,4.4,8.8,1.3,2.69,0.4,low,3,1,7,11,Good,Moderate,5.7,3.8260869565217397,0,0,low,2,False
19,2.3,6.9,2.3,2.17,1.6,medium,3,6,10,19,Fair,Moderate,4.6,2.0909090909090913,0,1,medium,1,True
13,4.3,4.4,0.7,3.19,0.3,low,6,2,6,14,Poor,Moderate,5.0,2.588235294117647,0,0,medium,0,True
18,3.9,5.2,1.8,2.41,0.6,high,9,5,5,19,Poor,Healthy,5.7,1.8571428571428574,0,0,medium,0,False
18,2.9,7.5,0.9,2.62,2.0,high,3,1,9,13,Fair,Healthy,3.8,3.947368421052632,0,1,low,1,True
14,2.1,8.5,1.1,3.03,1.6,medium,5,6,7,18,Good,Healthy,3.2,4.0476190476190474,0,1,medium,2,True
14,2.1,5.0,1.4,2.96,1.1,low,7,1,9,17,Poor,Healthy,3.5,2.0833333333333335,0,1,medium,0,True
16,3.8,5.7,1.3,3.84,1.6,medium,3,4,10,17,Poor,Healthy,5.1,2.4782608695652177,0,1,medium,0,True
15,1.1,8.2,0.7,2.94,0.7,high,10,7,9,26,Good,Healthy,1.8,4.823529411764706,0,0,high,2,False
14,2.5,5.3,2.4,3.87,1.3,high,10,9,6,25,Poor,Moderate,4.9,1.5588235294117647,0,1,high,0,True
19,4.1,6.4,0.9,2.47,1.2,high,7,3,4,14,Fair,Moderate,5.0,3.368421052631579,0,1,medium,1,False
16,3.0,8.6,1.5,2.84,0.3,high,6,4,3,13,Good,Healthy,4.5,3.44,0,0,low,2,True
13,3.9,5.0,0.7,2.98,0.3,medium,10,8,3,21,Poor,Healthy,4.6,2.9411764705882355,0,0,high,0,False
13,7.0,8.9,0.6,2.7,1.8,medium,5,4,1,10,Good,Moderate,7.6,5.5625,1,1,low,2,True
16,3.6,8.9,1.9,2.11,1.7,low,9,5,2,16,Good,Healthy,5.5,3.0689655172413794,0,1,medium,2,True
15,7.6,7.6,2.7,2.36,1.2,medium,5,10,3,18,Fair,At Risk,10.3,2.054054054054054,1,1,medium,1,True
19,1.3,4.5,0.7,2.51,0.8,low,10,9,7,26,Poor,Healthy,2.0,2.6470588235294117,0,0,high,0,True
17,2.1,7.8,2.1,3.29,1.5,low,8,1,7,16,Fair,Moderate,4.2,2.5161290322580645,0,1,medium,1,False
15,2.7,8.8,1.9,2.14,0.4,high,8,10,3,21,Good,Healthy,4.6,3.03448275862069,0,0,high,2,False
13,7.5,8.0,2.0,3.25,0.7,medium,9,10,2,21,Good,At Risk,9.5,2.6666666666666665,1,0,high,2,True
16,6.1,8.8,1.7,3.55,1.3,medium,6,10,9,25,Good,Moderate,7.8,3.2592592592592595,1,1,high,2,False
19,2.4,7.4,1.2,2.5,1.8,high,2,5,2,9,Fair,Healthy,3.5999999999999996,3.3636363636363633,0,1,low,1,True
19,2.0,5.3,1.7,2.91,0.8,low,9,5,9,23,Poor,Healthy,3.7,1.9629629629629628,0,0,high,0,True
15,7.8,5.3,0.5,2.32,0.8,low,8,9,3,20,Poor,Moderate,8.3,3.533333333333333,1,0,medium,0,False
16,6.8,7.2,2.5,3.61,0.5,medium,10,1,9,20,Fair,At Risk,9.3,2.0571428571428574,1,0,medium,1,False
17,8.0,4.6,2.6,3.06,0.1,high,9,2,6,17,Poor,At Risk,10.6,1.2777777777777777,1,0,medium,0,True
13,7.3,8.9,2.7,3.68,1.9,low,6,6,10,22,Good,At Risk,10.0,2.4054054054054053,1,1,high,2,False
15,1.5,8.7,1.2,2.52,0.1,low,9,7,2,18,Good,Healthy,2.7,3.9545454545454537,0,0,medium,2,False
15,3.4,5.0,1.8,3.2,1.5,medium,4,5,1,10,Poor,Healthy,5.2,1.7857142857142858,0,1,low,0,False
15,7.3,4.8,2.6,3.81,1.5,low,4,7,4,15,Poor,At Risk,9.9,1.3333333333333333,1,1,medium,0,True
13,1.9,8.5,0.8,3.33,1.3,medium,5,1,3,9,Good,Healthy,2.7,4.722222222222222,0,1,low,2,False
17,3.9,8.2,1.3,3.21,1.8,medium,3,7,7,17,Good,Healthy,5.2,3.5652173913043477,0,1,medium,2,False
18,1.3,5.8,1.3,3.35,1.9,medium,9,4,9,22,Poor,Healthy,2.6,2.5217391304347827,0,1,high,0,True
19,4.7,8.2,1.8,2.26,1.0,low,7,4,7,18,Good,Moderate,6.5,2.9285714285714284,0,1,medium,2,True
15,1.9,5.8,2.3,2.47,0.3,high,10,9,4,23,Poor,Moderate,4.199999999999999,1.7575757575757576,0,0,high,0,True
18,7.0,6.3,1.6,2.55,0.5,medium,10,1,8,19,Fair,Moderate,8.6,2.423076923076923,1,0,medium,1,False
15,6.2,6.3,1.7,2.26,1.1,high,9,6,2,17,Fair,Moderate,7.9,2.333333333333333,1,1,medium,1,True
14,3.2,8.0,1.3,2.5,1.1,high,2,7,5,14,Good,Healthy,4.5,3.4782608695652177,0,1,medium,2,True
18,4.5,7.9,1.4,2.38,0.1,high,7,9,1,17,Fair,Moderate,5.9,3.291666666666667,0,0,medium,1,False
14,1.1,6.1,2.5,2.8,1.8,high,4,10,3,17,Fair,Moderate,3.6,1.7428571428571427,0,1,medium,1,False
13,5.9,8.0,2.8,3.21,1.6,medium,2,8,8,18,Good,Moderate,8.7,2.1052631578947367,1,1,medium,2,True
17,5.1,5.0,2.2,3.58,1.2,high,6,3,9,18,Poor,Moderate,7.3,1.5625,1,1,medium,0,True
15,1.6,6.9,2.3,3.16,0.9,medium,3,1,5,9,Fair,Moderate,3.9,2.0909090909090913,0,0,low,1,True
15,7.2,8.0,1.4,3.64,0.4,medium,10,5,7,22,Good,Moderate,8.6,3.3333333333333335,1,0,high,2,False
17,1.4,6.9,2.4,3.06,1.9,medium,4,10,8,22,Fair,Moderate,3.8,2.0294117647058827,0,1,high,1,False
17,6.6,8.0,2.2,2.21,1.0,high,10,8,10,28,Good,At Risk,8.8,2.5,1,1,high,2,False
15,3.5,6.3,0.8,2.71,1.8,high,7,4,2,13,Fair,Healthy,4.3,3.5,0,1,low,1,False
17,5.4,6.3,2.8,3.06,0.8,low,3,7,9,19,Fair,Moderate,8.2,1.6578947368421053,1,0,medium,1,False
16,4.2,7.3,1.1,3.1,1.6,medium,1,6,2,9,Fair,Moderate,5.300000000000001,3.476190476190476,0,1,low,1,False
13,2.5,8.3,1.6,2.91,0.6,high,10,2,6,18,Good,Healthy,4.1,3.1923076923076925,0,0,medium,2,True
16,3.8,6.0,3.0,2.1,0.2,low,7,9,1,17,Fair,Moderate,6.8,1.5,0,0,medium,1,False
13,1.8,8.9,1.2,3.67,0.1,medium,2,8,9,19,Good,Healthy,3.0,4.045454545454545,0,0,medium,2,True
14,5.4,5.6,1.8,3.01,0.9,low,10,6,8,24,Poor,Moderate,7.2,2.0,1,0,high,0,True
14,7.7,6.1,0.8,3.47,1.5,medium,9,10,9,28,Fair,Moderate,8.5,3.3888888888888884,1,1,high,1,False
18,4.1,8.0,1.7,2.29,1.4,low,2,1,10,13,Good,Moderate,5.8,2.962962962962963,0,1,low,2,False
15,6.6,4.9,3.0,2.99,0.9,medium,4,8,3,15,Poor,At Risk,9.6,1.225,1,0,medium,0,False
16,2.3,4.1,0.8,3.18,1.7,medium,5,3,8,16,Poor,Healthy,3.0999999999999996,2.2777777777777777,0,1,medium,0,True
17,7.5,5.9,2.9,3.71,1.7,low,3,1,10,14,Poor,At Risk,10.4,1.512820512820513,1,1,medium,0,False
18,7.1,8.0,2.9,2.59,1.2,high,10,8,5,23,Good,At Risk,10.0,2.0512820512820515,1,1,high,2,True
17,1.7,6.3,1.5,2.66,1.8,low,1,4,10,15,Fair,Healthy,3.2,2.52,0,1,medium,1,False
13,7.9,5.8,0.8,3.31,1.6,medium,3,7,2,12,Poor,Moderate,8.700000000000001,3.222222222222222,1,1,low,0,True
16,4.0,7.9,1.9,2.56,0.1,high,4,9,9,22,Fair,Moderate,5.9,2.724137931034483,0,0,high,1,False
15,1.2,8.1,2.0,3.33,1.5,medium,7,3,8,18,Good,Moderate,3.2,2.6999999999999997,0,1,medium,2,False
19,3.5,8.4,1.7,2.46,0.1,high,6,9,3,18,Good,Healthy,5.2,3.111111111111111,0,0,medium,2,True
17,1.1,6.8,2.0,3.45,1.3,medium,7,1,2,10,Fair,Moderate,3.1,2.2666666666666666,0,1,low,1,True
19,1.6,4.1,1.6,3.15,0.9,medium,2,6,4,12,Poor,Healthy,3.2,1.5769230769230766,0,0,low,0,False
16,2.5,8.9,2.9,2.53,0.1,high,8,7,3,18,Good,Moderate,5.4,2.2820512820512824,0,0,medium,2,False
15,2.8,7.2,1.8,2.91,0.2,low,5,5,4,14,Fair,Healthy,4.6,2.5714285714285716,0,0,medium,1,True
15,2.2,5.2,1.4,2.62,1.5,medium,10,7,5,22,Poor,Healthy,3.6,2.166666666666667,0,1,high,0,True
16,4.8,6.8,1.0,2.6,1.1,medium,1,5,6,12,Fair,Moderate,5.8,3.4,0,1,low,1,True
18,3.7,7.9,2.7,3.11,0.3,medium,6,6,5,17,Fair,Moderate,6.4,2.135135135135135,0,0,medium,1,False
16,5.5,8.3,2.3,3.47,1.6,medium,4,8,5,17,Good,Moderate,7.8,2.5151515151515156,1,1,medium,2,True
16,2.5,6.8,1.0,3.77,1.0,high,3,9,9,21,Fair,Healthy,3.5,3.4,0,1,high,1,True
